,times,votes_timeline,dates
0,1446958800.0,329,2015-11-08
1,1447563600.0,329,2015-11-15
2,1447736400.0,329,2015-11-17
3,1448254800.0,329,2015-11-23
4,1449032400.0,329,2015-12-02
5,1449464400.0,329,2015-12-07
6,1449637200.0,329,2015-12-09
7,1449982800.0,329,2015-12-13
8,1452056400.0,329,2016-01-06
9,1452142800.0,329,2016-01-07
10,1452402000.0,329,2016-01-10
11,1453093200.0,329,2016-01-18
12,1453179600.0,329,2016-01-19
13,1453266000.0,329,2016-01-20
14,1453611600.0,329,2016-01-24
15,1453784400.0,329,2016-01-26
16,1454475600.0,329,2016-02-03
17,1454562000.0,329,2016-02-04
18,1454648400.0,329,2016-02-05
19,1454734800.0,329,2016-02-06
20,1454821200.0,329,2016-02-07
21,1455598800.0,329,2016-02-16
22,1455858000.0,329,2016-02-19
23,1455944400.0,329,2016-02-20
24,1456030800.0,329,2016-02-21
25,1456117200.0,329,2016-02-22
26,1456203600.0,329,2016-02-23
27,1456376400.0,329,2016-02-25
28,1456635600.0,329,2016-02-28
29,1456722000.0,329,2016-02-29
30,1456894800.0,329,2016-03-02
31,1456981200.0,329,2016-03-03
32,1457240400.0,329,2016-03-06
33,1457586000.0,329,2016-03-10
34,1457672400.0,329,2016-03-11
35,1458100800.0,329,2016-03-16
36,1458446400.0,329,2016-03-20
37,1458619200.0,329,2016-03-22
38,1458705600.0,329,2016-03-23
39,1458792000.0,329,2016-03-24
40,1459137600.0,329,2016-03-28
41,1459224000.0,329,2016-03-29
42,1459310400.0,329,2016-03-30
43,1459656000.0,329,2016-04-03
44,1459742400.0,329,2016-04-04
45,1460001600.0,329,2016-04-07
46,1460088000.0,329,2016-04-08
47,1460174400.0,329,2016-04-09
48,1460260800.0,329,2016-04-10
49,1460347200.0,329,2016-04-11
50,1460692800.0,329,2016-04-15
51,1460779200.0,329,2016-04-16
52,1460865600.0,329,2016-04-17
53,1461124800.0,329,2016-04-20
54,1461211200.0,329,2016-04-21
55,1461470400.0,329,2016-04-24
56,1461556800.0,345,2016-04-25
57,1461729600.0,345,2016-04-27
58,1461816000.0,345,2016-04-28
