,pollster,polls analyzed,simple average error,races called correctly,advanced,predictive,538 grade,mean-reverted bias
0,SurveyUSA,763,4.6,90%,-1.0,-0.8,A,D+0.1
1,YouGov,707,6.7,93%,-0.3,+0.1,B,D+1.6
2,Rasmussen Reports/,657,5.3,79%,+0.4,+0.7,C+,R+2.0
3,Zogby Interactive/,465,5.6,78%,+0.8,+1.2,C-,R+0.8
4,"Mason-Dixon Polling &amp; Research, Inc.",415,5.2,86%,-0.4,-0.2,B+,R+1.0
5,Public Policy Polling,383,4.9,82%,-0.5,-0.1,B+,R+0.2
6,Research 2000,279,5.5,88%,+0.2,+0.6,F,D+1.4
7,American Research Group,260,7.6,75%,+0.6,+0.7,C+,R+0.1
8,Quinnipiac University,169,4.7,87%,-0.3,-0.4,A-,R+0.7
9,Marist College,146,5.4,88%,-0.8,-0.8,A,R+0.7
10,Harris Interactive,135,5.5,86%,+1.2,+1.2,C-,R+1.5
11,TCJ Research,133,6.4,59%,+3.2,+3.0,F,R+4.5
12,"Strategic Vision, LLC",129,4.0,88%,-0.3,+0.2,F,R+1.9
13,Opinion Savvy/,105,7.8,71%,+0.9,+1.1,C-,D+0.7
14,University of New Hampshire,93,5.3,88%,-0.1,-0.3,B+,D+1.7
15,CNN/,89,5.5,76%,-0.3,-0.4,A-,R+0.1
16,Gallup,80,4.3,71%,+0.6,+0.3,B-,R+0.8
17,Monmouth University,71,5.5,85%,-1.5,-1.2,A+,D+0.6
18,Suffolk University,67,5.2,82%,-0.2,0.0,B+,D+0.7
19,Gravis Marketing,55,5.8,79%,0.0,+0.5,B-,R+1.1
20,CBS News/,55,4.7,75%,-0.3,-0.4,A-,D+0.6
21,Public Opinion Strategies,53,5.9,66%,0.0,+0.2,B,R+1.9
22,We Ask America,52,7.0,83%,+0.9,+1.1,C,R+0.9
23,ABC News/,51,3.0,78%,-1.0,-0.9,A+,D+0.6
24,Ipsos,49,4.3,78%,-0.9,-0.4,A-,D+0.1
25,Greenberg Quinlan Rosner (Democracy Corps),48,4.4,49%,+0.2,+0.3,B-,D+2.4
26,Mitchell Research &amp; Communications,47,8.2,70%,+2.2,+1.8,D,R+0.1
27,EPIC-MRA,43,5.1,84%,-0.8,-0.3,A-,R+0.4
28,RT Strategies,42,5.8,71%,+0.3,-0.1,B+,D+1.1
29,Siena College,42,5.3,85%,-0.8,-0.7,A,R+0.3
30,Los Angeles Times,40,5.2,86%,-0.2,-0.4,A-,R+0.6
31,University of Cincinnati (Ohio Poll),38,3.7,93%,-0.9,-0.7,A,R+1.5
32,Selzer &amp; Company,37,4.6,84%,-1.6,-1.1,A+,R+0.0
33,Dan Jones &amp; Associates,34,7.9,97%,+0.4,+0.8,C+,D+0.9
34,Fox News/,34,3.9,72%,+0.1,+0.2,B,R+0.5
35,Emerson College,34,7.9,84%,+0.2,+0.3,B,R+1.3
36,Princeton Survey Research Associates International,32,4.6,69%,0.0,-0.2,B+,D+0.3
37,George Washington University (Battleground),32,3.5,56%,+0.2,+0.3,B,R+1.0
38,Pharos Research Group,31,4.0,92%,-0.2,+0.1,F,D+0.9
39,ccAdvertising,30,7.1,88%,+1.6,+1.0,C,R+2.6
40,Grove Insight,29,3.1,90%,-2.5,-0.8,A,D+0.5
41,Angus Reid Global,29,3.3,93%,-2.0,-0.4,A-,R+1.3
42,"Susquehanna Polling &amp; Research, Inc.",29,5.3,79%,+0.3,+0.3,B-,D+0.1
43,Market Shares Corp.,26,6.8,85%,+0.2,-0.1,B+,R+1.7
44,"RKM Research and Communications, Inc.",26,5.6,87%,-0.8,-0.2,B+,R+0.2
45,"Research &amp; Polling, Inc.",26,4.1,85%,-1.7,-0.6,A,R+0.7
46,Field Research Corporation (Field Poll),25,3.9,100%,-2.5,-1.1,A+,R+1.1
47,NBC News/,25,4.2,74%,-0.6,-0.5,A-,D+0.5
48,Fox News/Shaw &amp; Company Research,24,6.4,65%,-0.8,-0.6,A,D+0.4
49,Landmark Communications,24,4.9,88%,-0.9,+0.2,B,D+0.5
50,Tarrance Group,24,6.2,83%,0.0,+0.2,B,R+0.7
51,Muhlenberg College,22,3.5,91%,-1.3,-0.8,A,R+0.5
52,Garin-Hart-Yang Research Group,22,5.3,86%,-0.9,-0.2,B+,D+1.3
53,KRC/,22,6.9,91%,-0.2,+0.5,B-,D+0.2
54,Global Strategy Group,21,7.1,67%,+1.5,+0.8,C+,D+1.9
55,Mellman Group,21,4.9,79%,-0.2,+0.1,B,D+1.6
56,Merriman River Group,21,7.7,81%,+2.3,+1.1,C-,R+2.4
57,Franklin Pierce University,21,6.6,83%,+0.8,+0.5,B-,D+1.3
58,Pew Research Center,20,3.4,57%,+0.1,-0.2,B+,D+0.6
59,McLaughlin &amp; Associates,19,5.7,84%,+1.5,+1.2,C-,R+0.5
60,GfK Group,19,3.4,92%,-1.1,-0.2,B+,R+0.1
61,Fairleigh Dickinson University (PublicMind),18,4.1,94%,-1.3,-0.7,A,D+0.0
62,Franklin &amp; Marshall College,18,5.7,94%,+0.1,-0.2,B+,R+0.4
63,Penn Schoen Berland,18,7.6,67%,+0.9,+0.5,B-,D+2.5
64,Columbus Dispatch,18,4.9,97%,+0.6,+0.8,C+,D+1.1
65,Elway Research,18,4.0,89%,-2.3,-1.0,A+,D+0.5
66,Blum &amp; Weprin Associates,18,4.6,94%,-2.6,-0.6,A,R+1.0
67,Ciruli Associates,17,3.6,94%,-2.0,-1.0,A+,R+0.7
68,Critical Insights,17,8.6,88%,+2.4,+1.0,C,D+0.3
69,Pan Atlantic SMS Group,17,6.8,91%,-0.5,0.0,B+,D+0.9
70,IBD/,17,2.3,76%,-1.6,-0.4,A-,R+0.7
71,SoonerPoll.com,16,8.5,81%,+1.0,+0.1,B,D+1.8
72,New England College,15,3.0,77%,-1.3,+0.2,B,R+0.6
73,Financial Dynamics,15,2.8,100%,-1.1,+0.3,B,R+0.7
74,Fleming &amp; Associates,15,5.1,100%,-1.0,-0.1,B+,R+0.3
75,Ward Research (Honolulu Star-Advertiser),14,6.0,75%,-0.7,0.0,B+,R+0.6
76,University of Massachusetts Lowell,14,5.3,93%,-0.2,+0.1,B,R+0.1
77,Magellan Strategies,13,7.7,92%,+0.8,+0.9,C,R+0.6
78,Rutgers University,13,5.7,85%,+2.1,+0.4,B-,D+0.1
79,Star Tribune,13,6.3,46%,+2.1,+0.8,C+,D+1.5
80,Brown University,12,11.4,83%,+4.0,+1.4,C-,R+0.4
81,Opinion Research Associates,12,7.9,71%,+3.7,+1.3,C-,D+1.7
82,"Davis, Hibbitts &amp; Midghall, Inc.",12,4.3,83%,-0.6,0.0,B,R+0.0
83,Roanoke College,12,9.0,75%,+3.6,+0.8,C+,D+0.3
84,St. Norbert College,12,3.9,88%,-1.8,-0.3,A-,D+0.3
85,National Journal,12,2.6,100%,-2.6,-0.8,A,R+0.2
86,Tel Opinion Research,12,4.7,96%,0.0,+0.2,B,R+0.0
87,Public Policy Institute of California,12,4.1,100%,-2.0,-0.8,A,R+0.7
88,Google Consumer Surveys,12,2.2,83%,-1.9,+0.1,B,R+0.6
89,Overtime Politics,12,9.8,67%,+0.8,+0.4,F,R+0.2
90,Capital Survey Research Center,11,7.8,36%,-1.0,+0.4,B-,D+0.1
91,University of Massachusetts Amherst,11,6.5,100%,-0.5,+0.1,B,R+0.4
92,Vox Populi Communications,11,4.1,77%,-1.6,+0.2,B,R+0.0
93,Anzalone Liszt Grove Research,11,7.6,55%,+2.8,+1.0,C,D+1.4
94,"Richard Day Research, Inc.",11,5.5,100%,-0.6,+0.5,B-,R+0.8
95,SurveyMonkey,11,11.2,91%,+2.5,+1.3,C-,R+1.2
96,Loras College,10,9.7,70%,+1.0,+0.5,B-,D+1.1
97,"Normington, Petts &amp; Associates",10,6.4,60%,+0.6,+0.8,C+,D+0.7
98,Louisville Courier-Journal,10,3.3,80%,-1.7,+0.2,B,R+0.3
99,University of Washington,10,4.0,100%,-0.9,0.0,B,D+0.2
100,Humphrey Institute,10,13.1,40%,+6.8,+2.3,D-,D+0.8
101,Wilson Research Strategies,10,6.9,65%,+1.0,+0.5,B-,R+0.1
102,Big Ten,10,4.8,100%,+1.4,+1.0,C,D+1.1
103,"Market Research Institute, Inc.",9,2.9,100%,-2.4,+0.2,B,R+0.3
104,Hendrix College,9,6.7,89%,0.0,+0.6,C+,D+1.5
105,"Harstad Strategic Research, Inc.",9,3.8,72%,-1.0,0.0,B+,D+0.8
106,"Gonzales Research &amp; Marketing Strategies, Inc.",9,6.4,78%,+1.0,+0.5,B-,R+0.4
107,Lake Research Partners,9,3.8,83%,-2.3,-0.2,B+,D+0.5
108,Clout Research/,9,9.0,33%,+4.7,+1.3,C-,R+1.7
109,Dittman Research,9,5.9,100%,+0.2,+0.3,B-,D+1.0
110,Harper Polling,9,4.1,100%,-1.1,+0.4,B-,D+0.3
111,Benenson Strategy Group,9,6.2,50%,+0.6,+0.4,B-,D+0.7
112,University of New Orleans,9,6.7,78%,+1.5,+1.0,C,D+0.3
113,St. Cloud State University,9,6.5,67%,+2.2,+0.7,C+,D+0.4
114,"Talmey-Drake Research &amp; Strategy, Inc.",9,7.7,50%,+1.6,+0.6,C+,R+0.4
115,Datamar,8,6.3,69%,+1.7,+1.0,C,R+0.4
116,"Schroth, Eldon &amp; Associates",8,3.2,88%,-1.1,+0.4,B-,D+0.6
117,Hamilton Campaigns,8,7.0,56%,+2.6,+0.8,C+,D+1.5
118,Southeastern Louisiana University,8,6.6,88%,+2.4,+1.2,C-,D+0.0
119,Potomac Incorporated,8,4.5,88%,-1.4,+0.4,B-,R+0.5
120,University of South Alabama,8,2.8,100%,-3.0,-0.2,B+,R+0.4
121,"National Research, Inc.",8,5.1,81%,-1.9,-0.2,B+,R+0.5
122,Arizona State University,8,8.0,100%,+2.2,+0.7,C+,D+0.9
123,Montana State University Billings,7,3.6,57%,-3.7,-0.1,B+,D+0.6
124,Behavior Research Center (Rocky Mountain),7,3.5,71%,-2.5,-0.6,A,D+0.1
125,Constituent Dynamics,7,7.4,86%,0.0,+0.7,C+,R+0.0
126,"Fairbank, Maslin, Maullin, Metz &amp; Associates",7,5.9,79%,+0.9,+0.4,B-,D+1.0
127,Maine People's Resource Center,7,7.5,86%,+1.9,+1.0,C,D+0.3
128,West Chester University,7,5.2,100%,+0.2,+0.7,C+,D+0.2
129,"Glengariff Group, Inc.",7,4.7,71%,-0.2,+0.2,B,R+0.1
130,"Wiese Research Associates, Inc.",7,8.8,100%,+2.6,+0.7,C+,D+1.3
131,Hays Research Group,7,7.7,71%,+2.6,+0.7,C+,D+1.1
132,Riley Research Associates,7,2.7,100%,-2.4,-0.1,B+,R+0.1
133,Market Research Insight,7,1.8,100%,-4.4,-0.1,B+,D+0.2
134,Howey Politics/,7,6.8,57%,+1.2,+0.5,B-,D+0.1
135,University of Connecticut,7,3.6,93%,-1.6,-0.5,A-,R+0.4
136,Time/,7,3.2,100%,-1.5,-0.5,A-,D+0.4
137,Marquette University,7,2.6,100%,-3.8,-0.6,A,R+0.1
138,Marketing Workshop,7,9.7,57%,+4.0,+1.4,D+,D+0.3
139,Baydoun Consulting,6,6.8,83%,+4.0,+1.3,C-,R+1.0
