GEONAME,American Indian or Alaska Native Alone,American Indian or Alaska Native and Black or African American,American Indian or Alaska Native and White,Asian Alone,Asian and White,Black or African American Alone,Black or African American and White,Hispanic or Latino,Native Hawaiian or Other Pacific Islander Alone,Not Hispanic or Latino,Remainder of Two or More Race Responses,Total,White Alone,Error,state_custom_total,American_Indian_or_Alaska_Native_Alone_percentage,American_Indian_or_Alaska_Native_and_Black_or_African_American_percentage,American_Indian_or_Alaska_Native_and_White_percentage,Asian_Alone_percentage,Asian_and_White_percentage,Black_or_African_American_Alone_percentage,Black_or_African_American_and_White_percentage,Hispanic_or_Latino_percentage,Native_Hawaiian_or_Other_Pacific_Islander_Alone_percentage,Remainder_of_Two_or_More_Race_Responses_percentage,White_Alone_percentage
Alabama,18265,2900,20630,48885,6480,959250,7670,120850,1125,3627240,4325,3748090,2557705,0.029126320086880653,3748085,0.004873155224601363,0.0007737284506621381,0.005504144116262038,0.013042660451937456,0.0017288828828588465,0.2559306952750538,0.0020463783505443446,0.03224313215948944,0.0003001532782741053,0.0011539226031426716,0.6824031472071738
Alaska,69690,910,18805,34315,3725,17275,2545,32655,5865,519665,4145,552320,362390,0.10386183323252168,552320,0.1261768539976825,0.0016475955967555041,0.034047291425260716,0.062128838354577054,0.006744278679026651,0.03127715816917729,0.004607836037079953,0.05912333429895713,0.010618844148319815,0.00750470741599073,0.6561232618771726
Arizona,187725,3470,24660,168125,20105,206510,16510,1391950,9505,3795570,13560,5187520,3145400,0.017218273530908434,5187520,0.03618781228795263,0.0006689130837085929,0.004753716612176917,0.03240951360187527,0.0038756477083461845,0.03980900314601197,0.0031826383319967923,0.2683266763308864,0.0018322820924063907,0.0026139658256739253,0.6063398309789649
Arkansas,13260,1730,21275,32790,3375,331690,5065,130045,4290,2142180,2790,2272225,1725915,-0.04799014816675928,2272225,0.00583568968742092,0.0007613682623859873,0.009363069238301665,0.014430789204414176,0.0014853282575449174,0.145975860665207,0.002229092629471113,0.05723244837109001,0.0018880172518126507,0.0012278713595704652,0.759570465072781
California,110440,26900,131215,4465975,241820,1712615,99600,10374900,110530,19493225,141315,29868125,12452810,0.1262808755417384,29868120,0.0036975879298730553,0.0009006258177615465,0.004393145601397075,0.1495231370437778,0.008096257816025916,0.05733922992140115,0.003334659161674722,0.34735698128974973,0.003700601176103484,0.004731298789478548,0.41692647545275696
Colorado,22605,2950,23795,128030,19875,159610,14265,767530,5600,3417655,10935,4185185,3029985,0.07079257843649694,4185180,0.005401201382019411,0.0007048681299251168,0.00568553801748073,0.030591276838750067,0.004748899688902269,0.03813694990418572,0.003408455550298912,0.18339235110556773,0.001338054755112086,0.002612790847705475,0.7239796137800525
Connecticut,4040,3555,7835,123535,7620,269375,10935,378030,670,2453715,5950,2831745,2020205,0.010802260838741917,2831750,0.0014266796150790148,0.0012554074335658161,0.0027668402931049704,0.04362496689326388,0.0026909155116094288,0.09512668844354198,0.0038615697007151053,0.1334969541802772,0.00023660280745122276,0.0021011741855742915,0.713412200935817
Delaware,2445,1270,1905,28645,1680,151340,2895,54115,190,685565,1740,739680,493455,0.10221452532355668,739680,0.003305483452303699,0.001716958684836686,0.002575438027255029,0.0387262059268873,0.0022712524334847503,0.20460199004975124,0.003913854639844257,0.0731600151416829,0.00025686783473934674,0.0023523685918234913,0.6671195652173914
District of Columbia,1070,1115,785,23470,3410,248605,2270,53095,240,501240,1755,554335,218515,-0.34211428713428993,554330,0.001930258149477748,0.0020114372305305504,0.0014161239694766654,0.04233940071798387,0.006151570364223477,0.4484783432251547,0.004095033644219147,0.09578229574441217,0.0004329550989482799,0.0031659841610592967,0.3941965976945141
Florida,34290,8120,48635,439775,42550,2323925,46470,3775390,9350,12391475,36745,16166865,9401615,0.004100222001429621,16166865,0.0021210049072593854,0.0005022618794676642,0.003008313609348504,0.027202243601341384,0.002631926474304078,0.1437461746603315,0.0028743977264608814,0.23352641343884545,0.0005783434203229878,0.0022728587144137096,0.5815360615679045
Georgia,15170,8315,22485,302405,18710,2325305,25605,598535,3590,7103895,18020,7702430,4364290,-0.07301833467921509,7702430,0.001969508323996453,0.001079529447200429,0.0029192086133856456,0.039260986467906885,0.002429103542648229,0.3018923898042566,0.003324275585756703,0.07770729497054825,0.00046608667654233794,0.002339521423758476,0.566612095144
Hawaii,1630,1000,6145,453130,39330,19665,2625,90330,96655,1023745,129460,1114075,274100,0.28099204135225764,1114070,0.0014631037547012306,0.0008976096654608777,0.005515811394257094,0.4067338677102875,0.03530298814257632,0.01765149407128816,0.002356225371834804,0.08108108108108109,0.08675846221512114,0.11620454729056523,0.24603480930282656
Idaho,13495,135,8785,17350,4730,6915,2065,123485,1540,1099280,2425,1222765,1041840,0.166454706117043,1222765,0.011036462443723855,0.00011040551536885665,0.007184536685299301,0.014189153271478985,0.003868282131071792,0.005655215842782546,0.0016887954758273258,0.10098833381720936,0.0012594406938373278,0.0019832101834776103,0.8520361639399231
Illinois,12435,6470,25945,537195,32165,1356680,30130,1440050,2545,8455480,14985,9895530,6436935,0.006625097878095065,9895535,0.0012566273576921309,0.0006538302375768465,0.002621889569386597,0.05428660501933448,0.0032504558874280167,0.13710021742129153,0.0030448075824096423,0.14552522930796566,0.00025718670087064517,0.0015143193369534845,0.650488831579091
Indiana,10075,2160,19580,106360,9825,435755,21085,273500,1510,4763065,6210,5036565,4150505,0.0802695730086389,5036565,0.002000371284794299,0.0004288637196184304,0.003887570199133735,0.02111756723084086,0.0019507342802088329,0.08651829173255979,0.004186384966738243,0.05430288301650033,0.00029980750769621756,0.0012329831939029874,0.8240745428680063
Iowa,6830,995,7295,54265,4920,70685,7700,107065,1670,2282335,2165,2389400,2125805,0.1255818175204455,2389395,0.002858464171892885,0.00041642340425086685,0.0030530741045327373,0.022710769881078684,0.0020590986421248894,0.029582802341178417,0.0032225730781222863,0.04480841384534579,0.0006989216935667815,0.0009060871057317857,0.8896833717321749
Kansas,14930,1995,18810,62700,6100,121130,8985,204505,1410,1981040,4310,2185545,1740660,0.12180584018977475,2185535,0.006831279297746318,0.0009128199731415878,0.008606588318192113,0.028688627727307042,0.0027910786146183885,0.05542350042438122,0.004111121533171512,0.0935720544397596,0.0006451509584609718,0.0019720571850828286,0.7964457215281384
